Date,S&P Adj Close,S&P Volume
1/5/2018,2743.149902,3236620000
1/8/2018,2747.709961,3242650000
1/9/2018,2751.290039,3453480000
1/10/2018,2748.22998,3576350000
1/11/2018,2767.560059,3641320000
1/12/2018,2786.23999,3573970000
1/16/2018,2776.419922,4325970000
1/17/2018,2802.560059,3778050000
1/18/2018,2798.030029,3681470000
1/19/2018,2810.300049,3639430000
1/22/2018,2832.969971,3471780000
1/23/2018,2839.129883,3519650000
1/24/2018,2837.540039,4014070000
1/25/2018,2839.25,3835150000
1/26/2018,2872.870117,3443230000
1/29/2018,2853.530029,3573830000
1/30/2018,2822.429932,3990650000
1/31/2018,2823.810059,4261280000
2/1/2018,2821.97998,3938450000
2/2/2018,2762.129883,4301130000
2/5/2018,2648.939941,5283460000
2/6/2018,2695.139893,5891660000
2/7/2018,2681.659912,4626570000
2/8/2018,2581,5305440000
2/9/2018,2619.550049,5680070000
2/12/2018,2656,4055790000
2/13/2018,2662.939941,3472870000
2/14/2018,2698.629883,4003740000
2/15/2018,2731.199951,3684910000
2/16/2018,2732.219971,3637460000
2/20/2018,2716.26001,3627610000
2/21/2018,2701.330078,3779400000
2/22/2018,2703.959961,3701270000
2/23/2018,2747.300049,3189190000
2/26/2018,2779.600098,3424650000
2/27/2018,2744.280029,3745080000
2/28/2018,2713.830078,4230660000
3/1/2018,2677.669922,4503970000
3/2/2018,2691.25,3882450000
3/5/2018,2720.939941,3710810000
3/6/2018,2728.120117,3370690000
3/7/2018,2726.800049,3393270000
3/8/2018,2738.969971,3212320000
3/9/2018,2786.570068,3364100000
3/12/2018,2783.02002,3185020000
3/13/2018,2765.310059,3301650000
3/14/2018,2749.47998,3391360000
3/15/2018,2747.330078,3500330000
3/16/2018,2752.01001,5372340000
3/19/2018,2712.919922,3302130000
3/20/2018,2716.939941,3261030000
3/21/2018,2711.929932,3415510000
3/22/2018,2643.689941,3739800000
3/23/2018,2588.26001,3815080000
3/26/2018,2658.550049,3511100000
3/27/2018,2612.620117,3706350000
3/28/2018,2605,3864500000
3/29/2018,2640.870117,3565990000
4/2/2018,2581.879883,3598520000
4/3/2018,2614.449951,3392810000
4/4/2018,2644.689941,3350340000
4/5/2018,2662.840088,3178970000
4/6/2018,2604.469971,3299700000
4/9/2018,2613.159912,3062960000
4/10/2018,2656.870117,3543930000
4/11/2018,2642.189941,3020760000
4/12/2018,2663.98999,3021320000
4/13/2018,2656.300049,2960910000
4/16/2018,2677.840088,3019700000
